"Antibody","Virus","Study","IC50 (ug/mL)"
"VRC01/PGDM1400-10E8v4","SS1196_1","Xu2017","0.037"
"10E8/N6","T250_4","Khan2018_dataset1","0.1333"
"10E8/PGDM1400/PRO-140","T250_4","Khan2018_dataset1","0.004"
"10E8/PGT121/PGDM1400.V1","T250_4","Khan2018_dataset2","0.007"
"10E8/PGT121/PGDM1400.V2","T250_4","Khan2018_dataset2","0.024"
"10E8/PGT121/PGDM1400.V3","T250_4","Khan2018_dataset2","0.005"
"10E8/PGT121/PGDM1400.V4","T250_4","Khan2018_dataset2","0.01"
"10E8/PGT121/PGDM1400.V5","T250_4","Khan2018_dataset2","0.005"
"10E8/PGT121/PGDM1400.V6","T250_4","Khan2018_dataset2","0.006"
"10E8/PGT121/PGDM1400.V7","T250_4","Khan2018_dataset2","0.01"
"10E8/PGT121/PGDM1400.V8","T250_4","Khan2018_dataset3","0.0013"
"10E8/PGT121/PGDM1400.V8","T250_4","Khan2018_dataset1","0.0032"
"10E8/PGT121/PGDM1400.V8","T250_4","Khan2018_dataset2","0.005"
"10E8/PGT121/PGDM1400.V8Fc","T250_4","Khan2018_dataset3","0.0037"
"10E8/PGT121/PGDM1400.V8LL","T250_4","Khan2018_dataset3","0.0006"
"10E8V1.1/P140","T250_4","Huang2016","0.001"
"10E8V2.0/iMab","T250_4","Huang2016","0.001"
"3BNC117/10-1074","T250_4","Bournazos2016_dataset1","0.04"
"3BNC117/10-1074-IgG3C","T250_4","Bournazos2016_dataset1","0.007"
"3BNC117/PGT135-IgG3C","T250_4","Bournazos2016_dataset1","29.034"
"8ANC195/PGT128-IgG3C","T250_4","Bournazos2016_dataset1","0.012"
"M36/PRO-140","T250_4","Khan2018_dataset1","0.0341"
"N6/10E8v4-PGDM1400","T250_4","Xu2017","0.002"
"N6/PGDM1400-10E8v4","T250_4","Xu2017","0.001"
"PG16/10-1074","T250_4","Bournazos2016_dataset1","0.001"
"PG16/PGT121","T250_4","Bournazos2016_dataset1","0.004"
"PG16/PGT128","T250_4","Bournazos2016_dataset1","0.002"
"PGDM1400/PRO-140","T250_4","Khan2018_dataset1","0.0044"
"PGT151/10-1074-IgG3C","T250_4","Bournazos2016_dataset1","0.002"
"PGT151/35O22","T250_4","Bournazos2016_dataset1","0.024"
"PRO-140/PGDM1400/PGT121","T250_4","Khan2018_dataset1","0.001"
"RoAb13/PGDM1400/PGT121","T250_4","Khan2018_dataset1","0.0075"
"VRC01/PGDM1400-10E8v4","T250_4","Xu2017","0.007"
"10E8/N6","T251_18","Khan2018_dataset1","0.2937"
"10E8/PGDM1400/PRO-140","T251_18","Khan2018_dataset1","0.014"
"10E8/PGT121/PGDM1400.V8","T251_18","Khan2018_dataset1","0.5803"
"10E8V1.1/P140","T251_18","Huang2016","0.004"
"10E8V2.0/iMab","T251_18","Huang2016","0.002"
"3BNC117/10-1074","T251_18","Bournazos2016_dataset2","0.35"
"3BNC117/10-1074","T251_18","Bournazos2016_dataset1","0.455"
"3BNC117/10-1074-IgG3C","T251_18","Bournazos2016_dataset1","0.35"
"3BNC117/PGT135-IgG3C","T251_18","Bournazos2016_dataset1","0.028"
"8ANC195/PGT128-IgG3C","T251_18","Bournazos2016_dataset1","0.057"
"M36/PRO-140","T251_18","Khan2018_dataset1","0.0193"
"N6/10E8v4-PGDM1400","T251_18","Xu2017","1.77"
"N6/PGDM1400-10E8v4","T251_18","Xu2017","0.903"
"PG16/10-1074","T251_18","Bournazos2016_dataset2","0.172"
"PG16/10-1074","T251_18","Bournazos2016_dataset1","2.028"
"PG16/PGT121","T251_18","Bournazos2016_dataset2","0.158"
"PG16/PGT121","T251_18","Bournazos2016_dataset1","11.345"
"PG16/PGT128","T251_18","Bournazos2016_dataset2","0.138"
"PG16/PGT128","T251_18","Bournazos2016_dataset1","12.683"
"PGDM1400/PRO-140","T251_18","Khan2018_dataset1","0.7223"
"PGT151/10-1074-IgG3C","T251_18","Bournazos2016_dataset1","0.055"
"PGT151/35O22","T251_18","Bournazos2016_dataset1","1.504"
"PRO-140/PGDM1400/PGT121","T251_18","Khan2018_dataset1","6.179"
"RoAb13/PGDM1400/PGT121","T251_18","Khan2018_dataset1",">40"
"VRC01/PGDM1400-10E8v4","T251_18","Xu2017","1.33"
"N6/10E8v4-PGDM1400","T253_11","Xu2017","0.017"
"N6/PGDM1400-10E8v4","T253_11","Xu2017","0.006"
"VRC01/PGDM1400-10E8v4","T253_11","Xu2017","0.001"
"10E8/N6","T255_34","Khan2018_dataset1","0.0077"
"10E8/PGDM1400/PRO-140","T255_34","Khan2018_dataset1","0.004"
"10E8/PGT121/PGDM1400.V8","T255_34","Khan2018_dataset1","0.0001"
"10E8V1.1/P140","T255_34","Huang2016","0.001"
"10E8V2.0/iMab","T255_34","Huang2016","0.0004"
"3BNC117/10-1074","T255_34","Bournazos2016_dataset1","0.186"
"3BNC117/10-1074-IgG3C","T255_34","Bournazos2016_dataset1","0.081"
"3BNC117/PGT135-IgG3C","T255_34","Bournazos2016_dataset1","0.016"
"8ANC195/PGT128-IgG3C","T255_34","Bournazos2016_dataset1","0.475"
"M36/PRO-140","T255_34","Khan2018_dataset1","0.0016"
"N6/10E8v4-PGDM1400","T255_34","Xu2017","0.023"
"N6/PGDM1400-10E8v4","T255_34","Xu2017","0.009"
"PG16/PGT121","T255_34","Bournazos2016_dataset1","0.037"
"PG16/PGT128","T255_34","Bournazos2016_dataset1","0.051"
"PGDM1400/PRO-140","T255_34","Khan2018_dataset1","0.0038"
"PGT151/10-1074-IgG3C","T255_34","Bournazos2016_dataset1","0.009"
"PGT151/35O22","T255_34","Bournazos2016_dataset1","0.026"
"PRO-140/PGDM1400/PGT121","T255_34","Khan2018_dataset1","0.009"
"RoAb13/PGDM1400/PGT121","T255_34","Khan2018_dataset1","0.0066"
"VRC01/PGDM1400-10E8v4","T255_34","Xu2017","0.002"
"10E8/N6","T257_31","Khan2018_dataset1","0.0494"
"10E8/PGDM1400/PRO-140","T257_31","Khan2018_dataset1","0.003"
"10E8/PGT121/PGDM1400.V8","T257_31","Khan2018_dataset1","0.0042"
"10E8V1.1/P140","T257_31","Huang2016","0.001"
"10E8V2.0/iMab","T257_31","Huang2016","0.001"
"3BNC117/10-1074","T257_31","Bournazos2016_dataset1","0.369"
"3BNC117/10-1074-IgG3C","T257_31","Bournazos2016_dataset1","0.285"
"3BNC117/PGT135-IgG3C","T257_31","Bournazos2016_dataset1","0.028"
"8ANC195/PGT128-IgG3C","T257_31","Bournazos2016_dataset1","0.056"
"M36/PRO-140","T257_31","Khan2018_dataset1","0.0053"
"N6/10E8v4-PGDM1400","T257_31","Xu2017","0.013"
"N6/PGDM1400-10E8v4","T257_31","Xu2017","0.006"
"PG16/10-1074","T257_31","Bournazos2016_dataset1","0.053"
"PG16/PGT121","T257_31","Bournazos2016_dataset1","0.017"
"PG16/PGT128","T257_31","Bournazos2016_dataset1","0.019"
"PGDM1400/PRO-140","T257_31","Khan2018_dataset1","0.0009"
"PGT151/10-1074-IgG3C","T257_31","Bournazos2016_dataset1","0.015"
"PGT151/35O22","T257_31","Bournazos2016_dataset1","0.024"
"PRO-140/PGDM1400/PGT121","T257_31","Khan2018_dataset1","0.004"
"RoAb13/PGDM1400/PGT121","T257_31","Khan2018_dataset1","0.0041"
"VRC01/PGDM1400-10E8v4","T257_31","Xu2017","0.001"
"10E8/N6","T278_50","Khan2018_dataset1","6.374"
"10E8/PGDM1400/PRO-140","T278_50","Khan2018_dataset1","0.025"
"10E8/PGT121/PGDM1400.V8","T278_50","Khan2018_dataset1","2.069"
"10E8/PGT121/PGDM1400.V8","T278_50","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","T278_50","Khan2018_dataset3","0.2842"
"10E8V1.1/P140","T278_50","Huang2016","0.01"
"10E8V2.0/iMab","T278_50","Huang2016","0.021"
"3BNC117/10-1074","T278_50","Bournazos2016_dataset2","14.538"
"3BNC117/10-1074","T278_50","Bournazos2016_dataset1",">20"
"3BNC117/10-1074-IgG3C","T278_50","Bournazos2016_dataset1","14.538"
"3BNC117/PGT135-IgG3C","T278_50","Bournazos2016_dataset1",">30"
"8ANC195/PGT128-IgG3C","T278_50","Bournazos2016_dataset1","0.024"
"M36/PRO-140","T278_50","Khan2018_dataset1","0.0211"
"N6/10E8v4-PGDM1400","T278_50","Xu2017","6.39"
"N6/PGDM1400-10E8v4","T278_50","Xu2017","1.08"
"PG16/10-1074","T278_50","Bournazos2016_dataset2","0.107"
"PG16/PGT121","T278_50","Bournazos2016_dataset2","0.083"
"PG16/PGT121","T278_50","Bournazos2016_dataset1","6.072"
"PG16/PGT128","T278_50","Bournazos2016_dataset2","0.023"
"PG16/PGT128","T278_50","Bournazos2016_dataset1","3.104"
"PGDM1400/PRO-140","T278_50","Khan2018_dataset1","0.3015"
"PGT151/10-1074-IgG3C","T278_50","Bournazos2016_dataset1","0.096"
"PGT151/35O22","T278_50","Bournazos2016_dataset1","0.46"
"PRO-140/PGDM1400/PGT121","T278_50","Khan2018_dataset1","0.921"
"RoAb13/PGDM1400/PGT121","T278_50","Khan2018_dataset1","4.761"
"VRC01/PGDM1400-10E8v4","T278_50","Xu2017","0.189"
"N6/10E8v4-PGDM1400","T280_5","Xu2017","0.009"
"N6/PGDM1400-10E8v4","T280_5","Xu2017","0.007"
"VRC01/PGDM1400-10E8v4","T280_5","Xu2017","0.038"
"N6/10E8v4-PGDM1400","TH023_6","Xu2017","0.02"
"N6/PGDM1400-10E8v4","TH023_6","Xu2017","0.004"
"VRC01/PGDM1400-10E8v4","TH023_6","Xu2017","0.014"
"N6/10E8v4-PGDM1400","TH966_8","Xu2017","0.006"
"N6/PGDM1400-10E8v4","TH966_8","Xu2017","0.004"
"VRC01/PGDM1400-10E8v4","TH966_8","Xu2017","0.019"
"N6/10E8v4-PGDM1400","TH976_17","Xu2017","0.267"
"N6/PGDM1400-10E8v4","TH976_17","Xu2017","0.135"
"VRC01/PGDM1400-10E8v4","TH976_17","Xu2017","0.022"
"10E8-0fH/0fL","THRO4156","Georgiev2014","0.18"
"10E8-0fH/4fL","THRO4156","Georgiev2014","0.086"
"10E8-10fH/10fL","THRO4156","Georgiev2014","0.14"
"10E8-10fH/16fL","THRO4156","Georgiev2014","0.084"
"10E8-10fH/4fL","THRO4156","Georgiev2014","0.365"
"10E8-19fH/10fL","THRO4156","Georgiev2014","0.043"
"10E8-19fH/16fL","THRO4156","Georgiev2014","0.05"
"10E8-2fH/0fL","THRO4156","Georgiev2014","0.281"
"10E8-2fH/10fL","THRO4156","Georgiev2014","0.078"
"10E8-2fH/4fL","THRO4156","Georgiev2014","0.483"
"10E8V1.1/P140","THRO4156","Huang2016","0.001"
"10E8V2.0/iMab","THRO4156","Huang2016","0.001"
"3BNC117/10-1074","THRO4156","Bournazos2016_dataset1","7.226"
"3BNC117/10-1074-IgG3C","THRO4156","Bournazos2016_dataset1","5.716"
"3BNC117/PGT135-IgG3C","THRO4156","Bournazos2016_dataset1","0.249"
"8ANC195/PGT128-IgG3C","THRO4156","Bournazos2016_dataset1",">30"
"N6/10E8v4-PGDM1400","THRO4156","Xu2017","0.383"
"N6/PGDM1400-10E8v4","THRO4156","Xu2017","0.14"
"PG16/10-1074","THRO4156","Bournazos2016_dataset1","21.692"
"PG16/PGT121","THRO4156","Bournazos2016_dataset1","10.836"
"PG16/PGT128","THRO4156","Bournazos2016_dataset1","15.441"
"PGT151/10-1074-IgG3C","THRO4156","Bournazos2016_dataset1",">30"
"PGT151/35O22","THRO4156","Bournazos2016_dataset1",">50"
"VRC01-0fH/0fL","THRO4156","Georgiev2014",">50"
"VRC01-30fH/10fL","THRO4156","Georgiev2014","2.16"
"VRC01-30fH/19fL","THRO4156","Georgiev2014","4.37"
"VRC01-5fH/0fL","THRO4156","Georgiev2014",">50"
"VRC01-5fH/10fL","THRO4156","Georgiev2014","3.18"
"VRC01-5fH/6fL","THRO4156","Georgiev2014","4.57"
"VRC01-8fH/10fL","THRO4156","Georgiev2014","3.19"
"VRC01-8fH/19fL","THRO4156","Georgiev2014","4.74"
"VRC01-8fH/6fL","THRO4156","Georgiev2014","4.36"
"VRC01/PGDM1400-10E8v4","THRO4156","Xu2017","0.226"
"10E8-0fH/0fL","TRJO4551_58","Georgiev2014","11.1"
"10E8-0fH/4fL","TRJO4551_58","Georgiev2014","4.43"
"10E8-10fH/10fL","TRJO4551_58","Georgiev2014","1.13"
"10E8-10fH/16fL","TRJO4551_58","Georgiev2014","1.27"
"10E8-10fH/4fL","TRJO4551_58","Georgiev2014","5.01"
"10E8-19fH/10fL","TRJO4551_58","Georgiev2014","1.06"
"10E8-19fH/16fL","TRJO4551_58","Georgiev2014","0.644"
"10E8-2fH/0fL","TRJO4551_58","Georgiev2014","23.8"
"10E8-2fH/10fL","TRJO4551_58","Georgiev2014","1.83"
"10E8-2fH/4fL","TRJO4551_58","Georgiev2014","6.42"
"10E8/N6","TRJO4551_58","Khan2018_dataset1","0.192"
"10E8/PGDM1400/PRO-140","TRJO4551_58","Khan2018_dataset1","0.009"
"10E8/PGT121/PGDM1400.V8","TRJO4551_58","Khan2018_dataset1","0.4934"
"10E8V1.1/P140","TRJO4551_58","Huang2016","0.001"
"10E8V2.0/iMab","TRJO4551_58","Huang2016","0.002"
"3BNC117/10-1074","TRJO4551_58","Bournazos2016_dataset2","0.168"
"3BNC117/10-1074","TRJO4551_58","Bournazos2016_dataset1","0.27"
"3BNC117/10-1074-IgG3C","TRJO4551_58","Bournazos2016_dataset1","0.168"
"3BNC117/PGT135-IgG3C","TRJO4551_58","Bournazos2016_dataset1","0.019"
"8ANC195/PGT128-IgG3C","TRJO4551_58","Bournazos2016_dataset1","0.049"
"M36/PRO-140","TRJO4551_58","Khan2018_dataset1","0.0044"
"N6/10E8v4-PGDM1400","TRJO4551_58","Xu2017","0.548"
"N6/PGDM1400-10E8v4","TRJO4551_58","Xu2017","0.268"
"PG16/10-1074","TRJO4551_58","Bournazos2016_dataset2","0.113"
"PG16/10-1074","TRJO4551_58","Bournazos2016_dataset1","0.12"
"PG16/PGT121","TRJO4551_58","Bournazos2016_dataset2","0.174"
"PG16/PGT121","TRJO4551_58","Bournazos2016_dataset1","4.837"
"PG16/PGT128","TRJO4551_58","Bournazos2016_dataset2","0.023"
"PG16/PGT128","TRJO4551_58","Bournazos2016_dataset1","0.356"
"PGDM1400/PRO-140","TRJO4551_58","Khan2018_dataset1","0.4749"
"PGT151/10-1074-IgG3C","TRJO4551_58","Bournazos2016_dataset1","0.366"
"PGT151/35O22","TRJO4551_58","Bournazos2016_dataset1","0.752"
"PRO-140/PGDM1400/PGT121","TRJO4551_58","Khan2018_dataset1",">40"
"RoAb13/PGDM1400/PGT121","TRJO4551_58","Khan2018_dataset1",">40"
"VRC01-0fH/0fL","TRJO4551_58","Georgiev2014",">50"
"VRC01-30fH/10fL","TRJO4551_58","Georgiev2014","0.034"
"VRC01-30fH/19fL","TRJO4551_58","Georgiev2014","0.067"
"VRC01-5fH/0fL","TRJO4551_58","Georgiev2014",">50"
"VRC01-5fH/10fL","TRJO4551_58","Georgiev2014","0.128"
"VRC01-5fH/6fL","TRJO4551_58","Georgiev2014","0.101"
"VRC01-8fH/10fL","TRJO4551_58","Georgiev2014","0.1"
"VRC01-8fH/19fL","TRJO4551_58","Georgiev2014","0.132"
"VRC01-8fH/6fL","TRJO4551_58","Georgiev2014","0.094"
"VRC01/PGDM1400-10E8v4","TRJO4551_58","Xu2017","0.175"
"10E8-0fH/0fL","TRO_11","Georgiev2014","0.57"
"10E8-0fH/4fL","TRO_11","Georgiev2014","0.102"
"10E8-10fH/10fL","TRO_11","Georgiev2014","0.066"
"10E8-10fH/16fL","TRO_11","Georgiev2014","0.019"
"10E8-10fH/4fL","TRO_11","Georgiev2014","0.074"
"10E8-19fH/10fL","TRO_11","Georgiev2014","0.015"
"10E8-19fH/16fL","TRO_11","Georgiev2014","0.021"
"10E8-2fH/0fL","TRO_11","Georgiev2014","3.32"
"10E8-2fH/10fL","TRO_11","Georgiev2014","0.099"
"10E8-2fH/4fL","TRO_11","Georgiev2014","1.15"
"10E8/N6","TRO_11","Khan2018_dataset1","0.0966"
"10E8/PGDM1400/PRO-140","TRO_11","Khan2018_dataset1","0.007"
"10E8/PGT121/PGDM1400.V1","TRO_11","Khan2018_dataset2","0.078"
"10E8/PGT121/PGDM1400.V2","TRO_11","Khan2018_dataset2","0.161"
"10E8/PGT121/PGDM1400.V3","TRO_11","Khan2018_dataset2","0.049"
"10E8/PGT121/PGDM1400.V4","TRO_11","Khan2018_dataset2","0.062"
"10E8/PGT121/PGDM1400.V5","TRO_11","Khan2018_dataset2","0.072"
"10E8/PGT121/PGDM1400.V6","TRO_11","Khan2018_dataset2","0.058"
"10E8/PGT121/PGDM1400.V7","TRO_11","Khan2018_dataset2","0.075"
"10E8/PGT121/PGDM1400.V8","TRO_11","Khan2018_dataset1","0.0351"
"10E8/PGT121/PGDM1400.V8","TRO_11","Khan2018_dataset2","0.041"
"10E8/PGT121/PGDM1400.V8","TRO_11","Khan2018_dataset3","0.0672"
"10E8/PGT121/PGDM1400.V8.4DS","TRO_11","Khan2018_dataset3","0.0187"
"10E8V1.1/P140","TRO_11","Huang2016","0.002"
"10E8V2.0/iMab","TRO_11","Huang2016","0.008"
"3BNC117/10-1074","TRO_11","Bournazos2016_dataset1","0.06"
"3BNC117/10-1074-IgG3C","TRO_11","Bournazos2016_dataset1","0.025"
"3BNC117/PGT135-IgG3C","TRO_11","Bournazos2016_dataset1","0.018"
"8ANC195/PGT128-IgG3C","TRO_11","Bournazos2016_dataset1","0.014"
"M36/PRO-140","TRO_11","Khan2018_dataset1","0.0501"
"N6/10E8v4-PGDM1400","TRO_11","Xu2017","0.271"
"N6/PGDM1400-10E8v4","TRO_11","Xu2017","0.153"
"PG16/10-1074","TRO_11","Bournazos2016_dataset1","0.028"
"PG16/PGT121","TRO_11","Bournazos2016_dataset1","0.699"
"PG16/PGT128","TRO_11","Bournazos2016_dataset1","0.646"
"PGDM1400/PRO-140","TRO_11","Khan2018_dataset1","0.067"
"PGT151/10-1074-IgG3C","TRO_11","Bournazos2016_dataset1","0.042"
"PGT151/35O22","TRO_11","Bournazos2016_dataset1",">50"
"PRO-140/PGDM1400/PGT121","TRO_11","Khan2018_dataset1","0.015"
"RoAb13/PGDM1400/PGT121","TRO_11","Khan2018_dataset1","0.0161"
"VRC01-0fH/0fL","TRO_11","Georgiev2014",">50"
"VRC01-30fH/10fL","TRO_11","Georgiev2014","0.093"
"VRC01-30fH/19fL","TRO_11","Georgiev2014","0.337"
"VRC01-5fH/0fL","TRO_11","Georgiev2014",">50"
"VRC01-5fH/10fL","TRO_11","Georgiev2014","0.573"
"VRC01-5fH/6fL","TRO_11","Georgiev2014","9.29"
"VRC01-8fH/10fL","TRO_11","Georgiev2014","5.75"
"VRC01-8fH/19fL","TRO_11","Georgiev2014","17"
"VRC01-8fH/6fL","TRO_11","Georgiev2014","8.92"
"VRC01/PGDM1400-10E8v4","TRO_11","Xu2017","0.264"
"N6/10E8v4-PGDM1400","TV1_29","Xu2017","0.248"
"N6/PGDM1400-10E8v4","TV1_29","Xu2017","0.002"
"VRC01/PGDM1400-10E8v4","TV1_29","Xu2017","0.009"
"N6/10E8v4-PGDM1400","TZA125_17","Xu2017","0.12"
"N6/PGDM1400-10E8v4","TZA125_17","Xu2017","0.045"
"VRC01/PGDM1400-10E8v4","TZA125_17","Xu2017","0.083"
"N6/10E8v4-PGDM1400","TZBD_02","Xu2017","0.014"
"N6/PGDM1400-10E8v4","TZBD_02","Xu2017","0.01"
"VRC01/PGDM1400-10E8v4","TZBD_02","Xu2017","0.006"
"N6/10E8v4-PGDM1400","UG021_16","Xu2017","0.034"
"N6/PGDM1400-10E8v4","UG021_16","Xu2017","0.01"
"VRC01/PGDM1400-10E8v4","UG021_16","Xu2017","0.027"
"N6/10E8v4-PGDM1400","UG024_2","Xu2017","0.073"
"N6/PGDM1400-10E8v4","UG024_2","Xu2017","0.028"
"VRC01/PGDM1400-10E8v4","UG024_2","Xu2017","0.038"
"N6/10E8v4-PGDM1400","UG037_8","Xu2017","0.057"
"N6/PGDM1400-10E8v4","UG037_8","Xu2017","0.028"
"VRC01/PGDM1400-10E8v4","UG037_8","Xu2017","0.036"
"10E8/N6","WEAU_D15_410","Khan2018_dataset1","0.1395"
"10E8/PGDM1400/PRO-140","WEAU_D15_410","Khan2018_dataset1","0.003"
"10E8/PGT121/PGDM1400.V1","WEAU_D15_410","Khan2018_dataset2","0.176"
"10E8/PGT121/PGDM1400.V2","WEAU_D15_410","Khan2018_dataset2","0.221"
"10E8/PGT121/PGDM1400.V3","WEAU_D15_410","Khan2018_dataset2","0.047"
"10E8/PGT121/PGDM1400.V4","WEAU_D15_410","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V5","WEAU_D15_410","Khan2018_dataset2","0.046"
"10E8/PGT121/PGDM1400.V6","WEAU_D15_410","Khan2018_dataset2","0.337"
"10E8/PGT121/PGDM1400.V7","WEAU_D15_410","Khan2018_dataset2","0.178"
"10E8/PGT121/PGDM1400.V8","WEAU_D15_410","Khan2018_dataset1","0.0104"
"10E8/PGT121/PGDM1400.V8","WEAU_D15_410","Khan2018_dataset3","0.0247"
"10E8/PGT121/PGDM1400.V8","WEAU_D15_410","Khan2018_dataset2","0.081"
"10E8/PGT121/PGDM1400.V8.4DS","WEAU_D15_410","Khan2018_dataset3","0.0012"
"10E8/PGT121/PGDM1400.V8Fc","WEAU_D15_410","Khan2018_dataset3","0.1099"
"10E8V1.1/P140","WEAU_D15_410","Huang2016",">10"
"10E8V2.0/iMab","WEAU_D15_410","Huang2016","5.341"
"3BNC117/10-1074","WEAU_D15_410","Bournazos2016_dataset1","0.107"
"3BNC117/10-1074-IgG3C","WEAU_D15_410","Bournazos2016_dataset1","0.035"
"3BNC117/PGT135-IgG3C","WEAU_D15_410","Bournazos2016_dataset1","0.017"
"8ANC195/PGT128-IgG3C","WEAU_D15_410","Bournazos2016_dataset1","0.03"
"M36/PRO-140","WEAU_D15_410","Khan2018_dataset1","0.016"
"PG16/PGT121","WEAU_D15_410","Bournazos2016_dataset1","1.032"
"PG16/PGT128","WEAU_D15_410","Bournazos2016_dataset1","2.31"
"PGDM1400/PRO-140","WEAU_D15_410","Khan2018_dataset1","0.3773"
"PGT151/10-1074-IgG3C","WEAU_D15_410","Bournazos2016_dataset1","0.01"
"PGT151/35O22","WEAU_D15_410","Bournazos2016_dataset1","0.112"
"PRO-140/PGDM1400/PGT121","WEAU_D15_410","Khan2018_dataset1","0.009"
"RoAb13/PGDM1400/PGT121","WEAU_D15_410","Khan2018_dataset1","0.0346"
"10E8/N6","WITO4160_33","Khan2018_dataset1","0.0922"
"10E8/PGDM1400/PRO-140","WITO4160_33","Khan2018_dataset1","0.003"
"10E8/PGT121/PGDM1400.V8","WITO4160_33","Khan2018_dataset1","0.0068"
"10E8V1.1/P140","WITO4160_33","Huang2016","0.002"
"10E8V2.0/iMab","WITO4160_33","Huang2016","0.002"
"3BNC117/10-1074","WITO4160_33","Bournazos2016_dataset1","0.066"
"3BNC117/10-1074-IgG3C","WITO4160_33","Bournazos2016_dataset1","0.023"
"3BNC117/PGT135-IgG3C","WITO4160_33","Bournazos2016_dataset1","0.016"
"8ANC195/PGT128-IgG3C","WITO4160_33","Bournazos2016_dataset1","0.316"
"M36/PRO-140","WITO4160_33","Khan2018_dataset1","0.019"
"N6/10E8v4-PGDM1400","WITO4160_33","Xu2017","0.014"
"N6/PGDM1400-10E8v4","WITO4160_33","Xu2017","0.008"
"PG16/PGT121","WITO4160_33","Bournazos2016_dataset1","0.007"
"PG16/PGT128","WITO4160_33","Bournazos2016_dataset1","0.006"
"PGDM1400/PRO-140","WITO4160_33","Khan2018_dataset1","0.0008"
"PGT151/10-1074-IgG3C","WITO4160_33","Bournazos2016_dataset1","0.014"
"PGT151/35O22","WITO4160_33","Bournazos2016_dataset1","0.024"
"PRO-140/PGDM1400/PGT121","WITO4160_33","Khan2018_dataset1","0.007"
"RoAb13/PGDM1400/PGT121","WITO4160_33","Khan2018_dataset1","0.0051"
"VRC01/PGDM1400-10E8v4","WITO4160_33","Xu2017","0.002"
"10E8/N6","X1193_C1","Khan2018_dataset1","0.0003"
"10E8/PGDM1400/PRO-140","X1193_C1","Khan2018_dataset1","0.001"
"10E8/PGT121/PGDM1400.V8","X1193_C1","Khan2018_dataset1","0.274"
"10E8V1.1/P140","X1193_C1","Huang2016","0.0002"
"10E8V2.0/iMab","X1193_C1","Huang2016","0.001"
"3BNC117/10-1074","X1193_C1","Bournazos2016_dataset1","0.181"
"3BNC117/10-1074-IgG3C","X1193_C1","Bournazos2016_dataset1","0.089"
"3BNC117/PGT135-IgG3C","X1193_C1","Bournazos2016_dataset1","0.017"
"8ANC195/PGT128-IgG3C","X1193_C1","Bournazos2016_dataset1","0.025"
"M36/PRO-140","X1193_C1","Khan2018_dataset1","0.0034"
"N6/10E8v4-PGDM1400","X1193_C1","Xu2017","0.072"
"N6/PGDM1400-10E8v4","X1193_C1","Xu2017","0.04"
"PG16/10-1074","X1193_C1","Bournazos2016_dataset1","0.039"
"PG16/PGT121","X1193_C1","Bournazos2016_dataset1","0.028"
"PG16/PGT128","X1193_C1","Bournazos2016_dataset1","0.041"
"PGDM1400/PRO-140","X1193_C1","Khan2018_dataset1","0.1226"
"PGT151/10-1074-IgG3C","X1193_C1","Bournazos2016_dataset1","0.02"
"PGT151/35O22","X1193_C1","Bournazos2016_dataset1","0.058"
"PRO-140/PGDM1400/PGT121","X1193_C1","Khan2018_dataset1","0.009"
"RoAb13/PGDM1400/PGT121","X1193_C1","Khan2018_dataset1","0.1552"
"VRC01/PGDM1400-10E8v4","X1193_C1","Xu2017","0.055"
"10E8/N6","X1254_C3","Khan2018_dataset1","0.3906"
"10E8/PGDM1400/PRO-140","X1254_C3","Khan2018_dataset1","0.119"
"10E8/PGT121/PGDM1400.V1","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V2","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V3","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V4","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V5","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V6","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V7","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V8","X1254_C3","Khan2018_dataset1","0.0293"
"10E8/PGT121/PGDM1400.V8","X1254_C3","Khan2018_dataset2",">1"
"10E8/PGT121/PGDM1400.V8","X1254_C3","Khan2018_dataset3",">1"
"10E8/PGT121/PGDM1400.V8Fc","X1254_C3","Khan2018_dataset3","0.5855"
"10E8/PGT121/PGDM1400.V8LL","X1254_C3","Khan2018_dataset3","0.1676"
"10E8V1.1/P140","X1254_C3","Huang2016","0.005"
"10E8V2.0/iMab","X1254_C3","Huang2016","0.009"
"3BNC117/10-1074","X1254_C3","Bournazos2016_dataset1","0.32"
"3BNC117/10-1074-IgG3C","X1254_C3","Bournazos2016_dataset1","0.133"
"3BNC117/PGT135-IgG3C","X1254_C3","Bournazos2016_dataset1","0.037"
"8ANC195/PGT128-IgG3C","X1254_C3","Bournazos2016_dataset1","0.043"
"M36/PRO-140","X1254_C3","Khan2018_dataset1","0.2631"
"N6/10E8v4-PGDM1400","X1254_C3","Xu2017","0.171"
"N6/PGDM1400-10E8v4","X1254_C3","Xu2017","0.092"
"PG16/PGT128","X1254_C3","Bournazos2016_dataset1","0.183"
